"Project","File","Line","Column","Code","Category","Message"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Authentication\Application\Commands\ApiKeys\BulkImportApiKeysCommand.cs","21","15","MA0048","Other","File name must match type name (record ApiKeyImportResultDto) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Application\Commands\BulkPasswordResetCommand.cs","24","15","MA0048","Other","File name must match type name (record BulkOperationResult) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Application\Commands\BulkPasswordResetCommand.cs","12","16","MA0016","Other","Prefer using collection abstraction instead of implementation (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0016.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Application\Commands\BulkPasswordResetCommand.cs","28","18","MA0016","Other","Prefer using collection abstraction instead of implementation (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0016.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Application\Commands\BulkPasswordResetCommand.cs","40","15","MA0048","Other","File name must match type name (record BulkOperationResult) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Application\Commands\BulkPasswordResetCommand.cs","44","18","MA0016","Other","Prefer using collection abstraction instead of implementation (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0016.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Application\Commands\BulkPasswordResetCommand.cs","45","17","MA0016","Other","Prefer using collection abstraction instead of implementation (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0016.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Domain\Aggregates\AlertConfiguration\ConfigCategory.cs","11","21","MA0048","Other","File name must match type name (class ConfigCategoryExtensions) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Application\Commands\BulkRoleChangeCommand.cs","12","16","MA0016","Other","Prefer using collection abstraction instead of implementation (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0016.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Application\Commands\AlertRules\CreateAlertRuleCommand.cs","16","14","MA0048","Other","File name must match type name (class CreateAlertRuleCommandValidator) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Application\Commands\AlertConfiguration\UpdateAlertConfigurationCommand.cs","16","14","MA0048","Other","File name must match type name (class UpdateAlertConfigurationCommandValidator) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Application\Commands\GenerateReportCommand.cs","20","22","MA0048","Other","File name must match type name (record GenerateReportResult) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Domain\Aggregates\AlertRule\AlertSeverity.cs","5","21","MA0048","Other","File name must match type name (class AlertSeverityExtensions) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Migrations\20251211140833_AddApiKeyUsageTracking.cs","9","26","MA0048","Other","File name must match type name (class AddApiKeyUsageTracking) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Application\Commands\AlertRules\UpdateAlertRuleCommand.cs","16","14","MA0048","Other","File name must match type name (class UpdateAlertRuleCommandValidator) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Migrations\20251211215636_AddAdminReportsAndExecutions.cs","9","26","MA0048","Other","File name must match type name (class AddAdminReportsAndExecutions) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Migrations\20251212064546_AddEmailRecipientsToAdminReports.cs","8","26","MA0048","Other","File name must match type name (class AddEmailRecipientsToAdminReports) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Migrations\20251212091232_AddAlertRulesAndConfiguration.cs","9","26","MA0048","Other","File name must match type name (class AddAlertRulesAndConfiguration) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Routing\AdminUserEndpoints.cs","386","51","MA0016","Other","Prefer using collection abstraction instead of implementation (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0016.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Infrastructure\Configurations\GameFAQConfiguration.cs","11","14","S101","Other","Rename class 'GameFAQConfiguration' to match pascal case naming rules, consider using 'GameFaqConfiguration'. (https://rules.sonarsource.com/csharp/RSPEC-101)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Migrations\20251212122759_AddGameFAQSystemOptimized.cs","9","26","MA0048","Other","File name must match type name (class AddGameFAQSystemOptimized) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Routing\AdminUserEndpoints.cs","391","48","MA0016","Other","Prefer using collection abstraction instead of implementation (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0016.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Migrations\20251212130625_AddAgentIdToChatThread.cs","8","26","MA0048","Other","File name must match type name (class AddAgentIdToChatThread) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Migrations\20251212135842_AddDocumentCollections.cs","9","26","MA0048","Other","File name must match type name (class AddDocumentCollections) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Migrations\20251212173331_AddShareLinksTable.cs","9","26","MA0048","Other","File name must match type name (class AddShareLinksTable) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Migrations\20251212191015_AddUserNotifications.cs","9","26","MA0048","Other","File name must match type name (class AddUserNotifications) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Routing\AlertConfigEndpoints.cs","130","15","MA0048","Other","File name must match type name (record UpdateAlertRuleRequest) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Migrations\20251213074930_AddNotificationIndexes.cs","8","26","MA0048","Other","File name must match type name (class AddNotificationIndexes) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Routing\AlertConfigEndpoints.cs","131","15","MA0048","Other","File name must match type name (record TestAlertRequest) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Routing\AlertConfigEndpoints.cs","129","15","MA0048","Other","File name must match type name (record CreateAlertRuleRequest) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Migrations\20251213111750_AddRuleSpecRowVersion.cs","8","26","MA0048","Other","File name must match type name (class AddRuleSpecRowVersion) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Routing\AlertConfigurationEndpoints.cs","78","15","MA0048","Other","File name must match type name (record UpdateAlertConfigurationRequest) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Application\Queries\AlertConfiguration\GetAlertConfigurationQuery.cs","13","15","MA0048","Other","File name must match type name (record AlertConfigurationDto) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Domain\Services\IReportGeneratorService.cs","40","22","MA0048","Other","File name must match type name (record ReportData) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Domain\ValueObjects\ReportFormat.cs","23","21","MA0048","Other","File name must match type name (class ReportFormatExtensions) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Routing\ReportingEndpoints.cs","185","22","MA0048","Other","File name must match type name (record UpdateScheduleRequest) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Routing\ReportingEndpoints.cs","171","22","MA0048","Other","File name must match type name (record GenerateReportRequest) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Application\Queries\AlertRules\GetAlertTemplatesQuery.cs","7","15","MA0048","Other","File name must match type name (record AlertTemplateDto) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Infrastructure\Scheduling\IReportSchedulerService.cs","35","22","MA0048","Other","File name must match type name (record SchedulerStatus) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Infrastructure\Services\Formatters\IReportFormatter.cs","28","22","MA0048","Other","File name must match type name (record ReportContent) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Routing\ReportingEndpoints.cs","176","22","MA0048","Other","File name must match type name (record ScheduleReportRequest) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Application\Queries\AlertRules\GetAllAlertRulesQuery.cs","7","15","MA0048","Other","File name must match type name (record AlertRuleDto) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Authentication\Application\Commands\CreateShareLink\CreateShareLinkCommand.cs","29","22","MA0048","Other","File name must match type name (record CreateShareLinkResult) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Infrastructure\Services\Formatters\IReportFormatter.cs","39","22","MA0048","Other","File name must match type name (record ReportSection) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Infrastructure\Services\Formatters\IReportFormatter.cs","48","22","MA0048","Other","File name must match type name (record ReportDataRow) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Infrastructure\Services\Formatters\IReportFormatter.cs","54","22","MA0048","Other","File name must match type name (record ChartData) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Infrastructure\Services\Formatters\IReportFormatter.cs","57","34","MA0016","Other","Prefer using collection abstraction instead of implementation (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0016.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Infrastructure\Services\Formatters\IReportFormatter.cs","63","13","MA0048","Other","File name must match type name (enum ChartType) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\DocumentProcessing\Application\Commands\DeletePdfCommandHandler.cs","85","17","S125","Other","Remove this commented out code. (https://rules.sonarsource.com/csharp/RSPEC-125)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\DocumentProcessing\Application\Commands\DeletePdfCommandHandler.cs","106","13","S125","Other","Remove this commented out code. (https://rules.sonarsource.com/csharp/RSPEC-125)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\DocumentProcessing\Application\Commands\DeletePdfCommandHandler.cs","158","9","S125","Other","Remove this commented out code. (https://rules.sonarsource.com/csharp/RSPEC-125)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Services\EmbeddingService.cs","55","40","S4136","Other","All 'GenerateEmbeddingsAsync' method overloads should be adjacent. (https://rules.sonarsource.com/csharp/RSPEC-4136)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Services\EmbeddingService.cs","121","48","S4136","Other","All 'GenerateEmbeddingAsync' method overloads should be adjacent. (https://rules.sonarsource.com/csharp/RSPEC-4136)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Services\EmbeddingService.cs","204","12","MA0016","Other","Prefer using collection abstraction instead of implementation (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0016.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Authentication\Application\Commands\Sessions\LogoutAllDevicesCommand.cs","27","15","MA0048","Other","File name must match type name (record LogoutAllDevicesResult) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\DocumentProcessing\Application\Commands\UploadPdfCommandHandler.cs","1127","9","S125","Other","Remove this commented out code. (https://rules.sonarsource.com/csharp/RSPEC-125)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\DocumentProcessing\Application\Commands\UploadPdfCommandHandler.cs","1151","9","S125","Other","Remove this commented out code. (https://rules.sonarsource.com/csharp/RSPEC-125)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Services\IAiResponseCacheService.cs","137","12","MA0016","Other","Prefer using collection abstraction instead of implementation (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0016.md)"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Api.csproj","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Services\IEmbeddingService.cs","5","27","S4136","Other","All 'GenerateEmbeddingsAsync' method overloads should be adjacent. (https://rules.sonarsource.com/csharp/RSPEC-4136)"
