"FilePath","WarningCount","Rules","SampleMessages","FirstSeen"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Infrastructure\Secrets\InfisicalSecretsClient.cs","44","CA1031;CA1062;MA0004;MA0048;S2139;S6667","File name must match type name (record InfisicalAuthResponse) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md) || File name must match type name (record InfisicalSecretResponse) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md) || File name must match type name (record InfisicalSecret) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)","2025-12-13T19:34:35.4642806+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\DocumentProcessing\Application\Services\EnhancedPdfProcessingOrchestrator.cs","26","CA1031;CA1062;MA0051","Nel metodo visibile esternamente 'EnhancedPdfProcessingOrchestrator.EnhancedPdfProcessingOrchestrator(IPdfTextExtractor unstructuredExtractor, IPdfTextExtractor smolDoclingExtractor, IPdfTextExtractor docnetExtractor, ILogger<EnhancedPdfProcessingOrchestrator> logger, IConfiguration configuration, IOptions<PdfProcessingOptions> options)' convalidare il parametro 'options' in modo che non sia Null prima di usarlo. Se appropriato, generare un'eccezione 'ArgumentNullException' quando l'argomento ├¿ 'null'. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1062) || Nel metodo visibile esternamente 'EnhancedPagedExtractionResult EnhancedPagedExtractionResult.FromStage(PagedTextExtractionResult result, int stageUsed, string stageName, int totalDurationMs)' convalidare il parametro 'result' in modo che non sia Null prima di usarlo. Se appropriato, generare un'eccezione 'ArgumentNullException' quando l'argomento ├¿ 'null'. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1062) || Nel metodo visibile esternamente 'EnhancedExtractionResult EnhancedExtractionResult.FromStage(TextExtractionResult result, int stageUsed, string stageName, int totalDurationMs)' convalidare il parametro 'result' in modo che non sia Null prima di usarlo. Se appropriato, generare un'eccezione 'ArgumentNullException' quando l'argomento ├¿ 'null'. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1062)","2025-12-13T19:34:35.3928935+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\DocumentProcessing\Infrastructure\Services\PdfUploadQuotaService.cs","26","CA1031;CA1062;S1172","Modificare 'CheckQuotaAsync' in modo da rilevare un tipo di eccezione consentito pi├╣ specifico o generare di nuovo l'eccezione (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1031) || Nel metodo visibile esternamente 'Task<PdfUploadQuotaResult> PdfUploadQuotaService.CheckQuotaAsync(Guid userId, UserTier userTier, Role userRole, CancellationToken ct = default(CancellationToken))' convalidare il parametro 'userTier' in modo che non sia Null prima di usarlo. Se appropriato, generare un'eccezione 'ArgumentNullException' quando l'argomento ├¿ 'null'. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1062) || Nel metodo visibile esternamente 'Task<PdfUploadQuotaResult> PdfUploadQuotaService.CheckQuotaAsync(Guid userId, UserTier userTier, Role userRole, CancellationToken ct = default(CancellationToken))' convalidare il parametro 'userRole' in modo che non sia Null prima di usarlo. Se appropriato, generare un'eccezione 'ArgumentNullException' quando l'argomento ├¿ 'null'. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1062)","2025-12-13T19:34:35.3988345+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Routing\AlertConfigEndpoints.cs","24","MA0004;MA0048;MA0051","File name must match type name (record CreateAlertRuleRequest) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md) || File name must match type name (record UpdateAlertRuleRequest) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md) || File name must match type name (record TestAlertRequest) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md)","2025-12-13T19:34:35.4769842+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Services\QdrantService.cs","24","CA1062;MA0016;MA0051;S3267;S4136","Prefer using collection abstraction instead of implementation (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0016.md) || Prefer using collection abstraction instead of implementation (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0016.md) || All 'IndexDocumentChunksAsync' method overloads should be adjacent. (https://rules.sonarsource.com/csharp/RSPEC-4136)","2025-12-13T19:34:35.4934883+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Observability\MeepleAiMetrics.cs","24","CA1062","Nel metodo visibile esternamente 'void MeepleAiMetrics.RecordApiError(Exception exception, int httpStatusCode, string? endpoint = null, bool isUnhandled = false)' convalidare il parametro 'exception' in modo che non sia Null prima di usarlo. Se appropriato, generare un'eccezione 'ArgumentNullException' quando l'argomento ├¿ 'null'. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1062) || Nel metodo visibile esternamente 'void MeepleAiMetrics.RecordPdfExtractionStage(string stageName, bool success, double durationMs, double? qualityScore = null)' convalidare il parametro 'stageName' in modo che non sia Null prima di usarlo. Se appropriato, generare un'eccezione 'ArgumentNullException' quando l'argomento ├¿ 'null'. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1062) || Nel metodo visibile esternamente 'void MeepleAiMetrics.RecordStreamingRequest(string type, double durationMs, int? totalTokens = null)' convalidare il parametro 'type' in modo che non sia Null prima di usarlo. Se appropriato, generare un'eccezione 'ArgumentNullException' quando l'argomento ├¿ 'null'. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1062)","2025-12-13T19:34:35.4755045+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Infrastructure\Repositories\AlertConfigurationRepository.cs","24","CA1062;MA0004","Use Task.ConfigureAwait(false) if the current SynchronizationContext is not needed (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0004.md) || Use Task.ConfigureAwait(false) if the current SynchronizationContext is not needed (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0004.md) || Use Task.ConfigureAwait(false) if the current SynchronizationContext is not needed (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0004.md)","2025-12-13T19:34:35.3610644+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\KnowledgeBase\Infrastructure\External\Reranking\CrossEncoderRerankerClient.cs","22","CA1031;MA0051;S1144;S3459;S6667","Remove unassigned auto-property 'ProcessingTimeMs', or set its value. (https://rules.sonarsource.com/csharp/RSPEC-3459) || Remove unassigned auto-property 'OriginalScore', or set its value. (https://rules.sonarsource.com/csharp/RSPEC-3459) || Remove unassigned auto-property 'RerankScore', or set its value. (https://rules.sonarsource.com/csharp/RSPEC-3459)","2025-12-13T19:34:35.4412339+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Routing\PromptManagementEndpoints.cs","22","MA0051;S1481","Method is too long (416 lines; maximum allowed: 60) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0051.md) || Remove the unused local variable 'session'. (https://rules.sonarsource.com/csharp/RSPEC-1481) || Remove the unused local variable 'session'. (https://rules.sonarsource.com/csharp/RSPEC-1481)","2025-12-13T19:34:35.4806840+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\DocumentProcessing\Infrastructure\External\SmolDoclingPdfTextExtractor.cs","20","CA1031;CA1062;MA0051;S2325;S6667","Method is too long (129 lines; maximum allowed: 60) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0051.md) || Logging in a catch clause should pass the caught exception as a parameter. (https://rules.sonarsource.com/csharp/RSPEC-6667) || Method is too long (81 lines; maximum allowed: 60) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0051.md)","2025-12-13T19:34:35.3963932+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Application\Commands\BulkPasswordResetCommand.cs","20","MA0016;MA0048","Prefer using collection abstraction instead of implementation (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0016.md) || File name must match type name (record BulkOperationResult) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md) || Prefer using collection abstraction instead of implementation (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0016.md)","2025-12-13T19:34:35.3262262+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\KnowledgeBase\Application\Services\HybridLlmService.cs","20","CA1031;MA0016;MA0051;S1066;S3267;S6677","Loop should be simplified by calling Select(client => client.ProviderName)) (https://rules.sonarsource.com/csharp/RSPEC-3267) || Method is too long (96 lines; maximum allowed: 60) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0051.md) || Modificare 'GenerateCompletionAsync' in modo da rilevare un tipo di eccezione consentito pi├╣ specifico o generare di nuovo l'eccezione (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1031)","2025-12-13T19:34:35.4216469+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Infrastructure\Services\ReportGeneratorService.ContentMetrics.cs","20","MA0002;MA0011;MA0051","Method is too long (110 lines; maximum allowed: 60) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0051.md) || Use an overload of 'ToString' that has a 'System.IFormatProvider' parameter (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0011.md) || Use an overload of 'ToString' that has a 'System.IFormatProvider' parameter (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0011.md)","2025-12-13T19:34:35.3655711+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Services\HybridCacheService.cs","18","MA0051;S1066;S2139","Method is too long (82 lines; maximum allowed: 60) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0051.md) || Merge this if statement with the enclosing one. (https://rules.sonarsource.com/csharp/RSPEC-1066) || Either log this exception and handle it, or rethrow it with some contextual information. (https://rules.sonarsource.com/csharp/RSPEC-2139)","2025-12-13T19:34:35.4855346+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Infrastructure\BackgroundTasks\RedisBackgroundTaskOrchestrator.cs","18","CA1031;S6667;S6966","Logging in a catch clause should pass the caught exception as a parameter. (https://rules.sonarsource.com/csharp/RSPEC-6667) || Logging in a catch clause should pass the caught exception as a parameter. (https://rules.sonarsource.com/csharp/RSPEC-6667) || Await CancelAsync instead. (https://rules.sonarsource.com/csharp/RSPEC-6966)","2025-12-13T19:34:35.4571775+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\KnowledgeBase\Infrastructure\Persistence\Mappers\KnowledgeBaseMappers.cs","18","CA1062;S4136","All 'ToEntity' method overloads should be adjacent. (https://rules.sonarsource.com/csharp/RSPEC-4136) || All 'ToDomain' method overloads should be adjacent. (https://rules.sonarsource.com/csharp/RSPEC-4136) || Nel metodo visibile esternamente 'VectorDocumentEntity KnowledgeBaseMappers.ToEntity(VectorDocument domain)' convalidare il parametro 'domain' in modo che non sia Null prima di usarlo. Se appropriato, generare un'eccezione 'ArgumentNullException' quando l'argomento ├¿ 'null'. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1062)","2025-12-13T19:34:35.4424547+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\DocumentProcessing\Application\Commands\CompleteChunkedUploadCommandHandler.cs","18","CA1031;CA1062;MA0004;S1172","Modificare 'Handle' in modo da rilevare un tipo di eccezione consentito pi├╣ specifico o generare di nuovo l'eccezione (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1031) || Nel metodo visibile esternamente 'Task<CompleteChunkedUploadResult> CompleteChunkedUploadCommandHandler.Handle(CompleteChunkedUploadCommand request, CancellationToken cancellationToken)' convalidare il parametro 'request' in modo che non sia Null prima di usarlo. Se appropriato, generare un'eccezione 'ArgumentNullException' quando l'argomento ├¿ 'null'. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1062) || Modificare 'CleanupTempDirectoryAsync' in modo da rilevare un tipo di eccezione consentito pi├╣ specifico o generare di nuovo l'eccezione (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1031)","2025-12-13T19:34:35.3847009+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Infrastructure\Services\ReportGeneratorService.UserActivity.cs","18","MA0002;MA0011;MA0051","Method is too long (87 lines; maximum allowed: 60) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0051.md) || Use an overload of 'ToString' that has a 'System.IFormatProvider' parameter (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0011.md) || Use an overload of 'ToString' that has a 'System.IFormatProvider' parameter (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0011.md)","2025-12-13T19:34:35.3666521+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Infrastructure\Services\ReportGeneratorService.AIUsage.cs","16","MA0002;MA0011;MA0051","Method is too long (92 lines; maximum allowed: 60) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0051.md) || Use an overload of 'ToString' that has a 'System.IFormatProvider' parameter (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0011.md) || Use an overload of 'ToString' that has a 'System.IFormatProvider' parameter (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0011.md)","2025-12-13T19:34:35.3649360+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Administration\Infrastructure\Services\LighthouseReportParserService.cs","16","CA1031;CA1062;MA0011;S1172;S3358","Nel metodo visibile esternamente 'LighthouseReportParserService.LighthouseReportParserService(IConfiguration configuration, ILogger<LighthouseReportParserService> logger)' convalidare il parametro 'configuration' in modo che non sia Null prima di usarlo. Se appropriato, generare un'eccezione 'ArgumentNullException' quando l'argomento ├¿ 'null'. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1062) || Extract this nested ternary operation into an independent statement. (https://rules.sonarsource.com/csharp/RSPEC-3358) || Modificare 'ParseAccessibilityMetricsAsync' in modo da rilevare un tipo di eccezione consentito pi├╣ specifico o generare di nuovo l'eccezione (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1031)","2025-12-13T19:34:35.3636369+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Services\RagService.cs","16","MA0051;S2325","Method is too long (173 lines; maximum allowed: 60) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0051.md) || Method is too long (122 lines; maximum allowed: 60) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0051.md) || Make 'CreateEmptyExplainResponse' a static method. (https://rules.sonarsource.com/csharp/RSPEC-2325)","2025-12-13T19:34:35.4948281+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\KnowledgeBase\Domain\Services\QualityTracking\RagAccuracyEvaluator.cs","16","MA0016;S2325;S3267","Loops should be simplified using the ""Where"" LINQ method (https://rules.sonarsource.com/csharp/RSPEC-3267) || Make 'EvaluateKeywords' a static method. (https://rules.sonarsource.com/csharp/RSPEC-2325) || Make 'EvaluateCitations' a static method. (https://rules.sonarsource.com/csharp/RSPEC-2325)","2025-12-13T19:34:35.4354992+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Routing\ConfigurationEndpoints.cs","16","MA0051;S1481","Method is too long (386 lines; maximum allowed: 60) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0051.md) || Remove the unused local variable 'session'. (https://rules.sonarsource.com/csharp/RSPEC-1481) || Remove the unused local variable 'session'. (https://rules.sonarsource.com/csharp/RSPEC-1481)","2025-12-13T19:34:35.4784432+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\Logging\LoggingEnrichers.cs","16","CA1062","Nel metodo visibile esternamente 'void EnvironmentEnricher.Enrich(LogEvent logEvent, ILogEventPropertyFactory propertyFactory)' convalidare il parametro 'propertyFactory' in modo che non sia Null prima di usarlo. Se appropriato, generare un'eccezione 'ArgumentNullException' quando l'argomento ├¿ 'null'. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1062) || Nel metodo visibile esternamente 'void EnvironmentEnricher.Enrich(LogEvent logEvent, ILogEventPropertyFactory propertyFactory)' convalidare il parametro 'logEvent' in modo che non sia Null prima di usarlo. Se appropriato, generare un'eccezione 'ArgumentNullException' quando l'argomento ├¿ 'null'. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1062) || Nel metodo visibile esternamente 'void RequestContextEnricher.Enrich(LogEvent logEvent, ILogEventPropertyFactory propertyFactory)' convalidare il parametro 'propertyFactory' in modo che non sia Null prima di usarlo. Se appropriato, generare un'eccezione 'ArgumentNullException' quando l'argomento ├¿ 'null'. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1062)","2025-12-13T19:34:35.4667336+01:00"
"D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api\src\Api\BoundedContexts\Authentication\Application\Commands\OAuth\HandleOAuthCallbackCommandHandler.cs","14","CA1031;CA1062;CS8604;MA0051;S1172","Possibile argomento di riferimento Null per il parametro 'ipAddress' in 'Task<string> HandleOAuthCallbackCommandHandler.CreateSessionForUserAsync(Guid userId, string ipAddress, string userAgent, CancellationToken cancellationToken)'. || Possibile argomento di riferimento Null per il parametro 'userAgent' in 'Task<string> HandleOAuthCallbackCommandHandler.CreateSessionForUserAsync(Guid userId, string ipAddress, string userAgent, CancellationToken cancellationToken)'. || Method is too long (64 lines; maximum allowed: 60) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0051.md)","2025-12-13T19:34:35.3688149+01:00"
